disease_name,symptoms,Description,precautions,tablets,message_hinglish
Fungal infection,itching skin rash nodal skin eruptions dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,skin rash nodal skin eruptions dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,itching nodal skin eruptions dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,itching skin rash dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,itching skin rash nodal skin eruptions,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,skin rash nodal skin eruptions dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,itching nodal skin eruptions dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,itching skin rash dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,itching skin rash nodal skin eruptions,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,itching skin rash nodal skin eruptions dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
